starting_url,link_tree,degrees,href_count
Val Ferrera - Wikipedia,"[['https://ceb.wikipedia.org/wiki/Pulo'], []]",-2,1
"Korkiasaari (pulo sa Finland, Southern Savonia, Mikkeli, lat 61,48, long 27,91) - Wikipedia","[['https://ceb.wikipedia.org/wiki/Pulo'], []]",-2,1
"O'Leary Lake (lanaw sa Tinipong Bansa, Minnesota, Dakota County) - Wikipedia","[['https://ceb.wikipedia.org/wiki/Kapuloan'], []]",-2,1
Kūh-e Kachīk Sīābat - Wikipedia,"[['https://ceb.wikipedia.org/wiki/Bukid'], ['https://ceb.wikipedia.org/wiki/Bolkan'], []]",-2,2
Fleinskallbekken - Wikipedia,"[['https://ceb.wikipedia.org/wiki/Bungtod'], ['https://ceb.wikipedia.org/wiki/Bukid'], ['https://ceb.wikipedia.org/wiki/Bolkan'], []]",-2,3
Sen Mara - Wikipedia,"[['https://ceb.wikipedia.org/wiki/Bungtod'], ['https://ceb.wikipedia.org/wiki/Bukid'], ['https://ceb.wikipedia.org/wiki/Bolkan'], []]",-2,3
Wangshuduan Dao - Wikipedia,"[['https://ceb.wikipedia.org/wiki/Mananap'], ['https://ceb.wikipedia.org/wiki/Sinugboanon'], ['https://ceb.wikipedia.org/wiki/Kinatsila'], ['https://ceb.wikipedia.org/wiki/Pinulongang_Romanse'], ['https://ceb.wikipedia.org/wiki/Kinatsila']]",-1,5
,"[['https://ceb.wikipedia.org/wiki/Lungsod'], ['https://ceb.wikipedia.org/wiki/Pagdumala'], ['https://ceb.wikipedia.org/wiki/Korporasyon'], ['https://ceb.wikipedia.org/wiki/Kinatsila'], ['https://ceb.wikipedia.org/wiki/Pinulongang_Romanse'], ['https://ceb.wikipedia.org/wiki/Kinatsila']]",-1,6
Biscogniauxia effusa - Wikipedia,"[['https://ceb.wikipedia.org/wiki/Tinipong_Bansa'], ['https://ceb.wikipedia.org/wiki/Ininggles'], ['https://ceb.wikipedia.org/wiki/Inglatera'], ['https://ceb.wikipedia.org/wiki/Hiniusang_Gingharian'], ['https://ceb.wikipedia.org/wiki/Iningles'], ['https://ceb.wikipedia.org/wiki/Inglatera']]",-1,6
Battery Point (punta sa Jamayka) - Wikipedia,"[['https://ceb.wikipedia.org/wiki/Bukid'], ['https://ceb.wikipedia.org/wiki/Bolkan'], []]",-2,2
Bahía Braulia - Wikipedia,"[['https://ceb.wikipedia.org/wiki/Bungtod'], ['https://ceb.wikipedia.org/wiki/Bukid'], ['https://ceb.wikipedia.org/wiki/Bolkan'], []]",-2,3
Cryptorrhynchus quercus - Wikipedia,"[['https://ceb.wikipedia.org/wiki/Pulo'], []]",-2,1
Rhynchodontodes calamina - Wikipedia,"[['https://ceb.wikipedia.org/wiki/Uhong'], []]",-2,1
Saltbuholmane - Wikipedia,"[['https://ceb.wikipedia.org/wiki/Bukid'], ['https://ceb.wikipedia.org/wiki/Bolkan'], []]",-2,2
,"[['https://ceb.wikipedia.org/wiki/Suba'], ['https://ceb.wikipedia.org/wiki/Tubig'], ['https://ceb.wikipedia.org/wiki/Likido'], ['https://ceb.wikipedia.org/wiki/Hangin'], ['https://ceb.wikipedia.org/wiki/Gas'], ['https://ceb.wikipedia.org/wiki/Komyun'], ['https://ceb.wikipedia.org/wiki/Dibisyon_sa_pagdumala_(Pransiya)'], ['https://ceb.wikipedia.org/wiki/Pransiya'], ['https://ceb.wikipedia.org/wiki/Prinanses'], ['https://ceb.wikipedia.org/wiki/Pransiya']]",-1,10
Södra Storkobbsgrundet - Wikipedia,"[['https://ceb.wikipedia.org/wiki/Suba'], ['https://ceb.wikipedia.org/wiki/Tubig'], ['https://ceb.wikipedia.org/wiki/Likido'], ['https://ceb.wikipedia.org/wiki/Hangin'], ['https://ceb.wikipedia.org/wiki/Gas'], ['https://ceb.wikipedia.org/wiki/Komyun'], ['https://ceb.wikipedia.org/wiki/Dibisyon_sa_pagdumala_(Pransiya)'], ['https://ceb.wikipedia.org/wiki/Pransiya'], ['https://ceb.wikipedia.org/wiki/Prinanses'], ['https://ceb.wikipedia.org/wiki/Pransiya']]",-1,10
C and H Johnson Dam Number One - Wikipedia,"[['https://ceb.wikipedia.org/wiki/Suba'], ['https://ceb.wikipedia.org/wiki/Tubig'], ['https://ceb.wikipedia.org/wiki/Likido'], ['https://ceb.wikipedia.org/wiki/Hangin'], ['https://ceb.wikipedia.org/wiki/Gas'], ['https://ceb.wikipedia.org/wiki/Komyun'], ['https://ceb.wikipedia.org/wiki/Dibisyon_sa_pagdumala_(Pransiya)'], ['https://ceb.wikipedia.org/wiki/Pransiya'], ['https://ceb.wikipedia.org/wiki/Prinanses'], ['https://ceb.wikipedia.org/wiki/Pransiya']]",-1,10
Acanthonevra desperata - Wikipedia,"[['https://ceb.wikipedia.org/wiki/Suba'], ['https://ceb.wikipedia.org/wiki/Tubig'], ['https://ceb.wikipedia.org/wiki/Likido'], ['https://ceb.wikipedia.org/wiki/Hangin'], ['https://ceb.wikipedia.org/wiki/Gas'], ['https://ceb.wikipedia.org/wiki/Komyun'], ['https://ceb.wikipedia.org/wiki/Dibisyon_sa_pagdumala_(Pransiya)'], ['https://ceb.wikipedia.org/wiki/Pransiya'], ['https://ceb.wikipedia.org/wiki/Prinanses'], ['https://ceb.wikipedia.org/wiki/Pransiya']]",-1,10
