Starting Title,Last URL,Degrees,Href Count
2018–19 EBU Player of the Year Championship - Wikipedia,[[]],-2,0
Reza Zuhro - Wikipedia,"[['https://en.wikipedia.org/wiki/Civil_parishes_in_England'], ['https://en.wikipedia.org/wiki/Parish_(administrative_division)'], ['https://en.wikipedia.org/wiki/Administrative_division'], []]",-2,3
Nanzih Technology Industrial Park metro station - Wikipedia,"[['https://en.wikipedia.org/wiki/New_Testament'], ['https://en.wikipedia.org/wiki/Christian_biblical_canon'], ['https://en.wikipedia.org/wiki/Jewish'], ['https://en.wikipedia.org/wiki/Hebrew_language'], ['https://en.wikipedia.org/wiki/Hebrew_alphabet'], ['https://en.wikipedia.org/wiki/Hebrew_language']]",-1,6
Jake Duncombe - Wikipedia,"[['https://en.wikipedia.org/wiki/Tiffany_Darwish'], ['https://en.wikipedia.org/wiki/Mononym'], ['https://en.wikipedia.org/wiki/Afghan_name'], ['https://en.wikipedia.org/wiki/Afghans'], ['https://en.wikipedia.org/wiki/Dari_language'], ['https://en.wikipedia.org/wiki/Endonym_and_exonym'], ['https://en.wikipedia.org/wiki/Name'], ['https://en.wikipedia.org/wiki/Referent'], ['https://en.wikipedia.org/wiki/Person'], ['https://en.wikipedia.org/wiki/Reason'], ['https://en.wikipedia.org/wiki/Consciousness'], ['https://en.wikipedia.org/wiki/Awareness'], ['https://en.wikipedia.org/wiki/Philosophy']]",13,13
Drew Von Bergen - Wikipedia,"[['https://en.wikipedia.org/wiki/Sports_games'], ['https://en.wikipedia.org/wiki/Video_game'], ['https://en.wikipedia.org/wiki/Electronic_game'], ['https://en.wikipedia.org/wiki/Game'], ['https://en.wikipedia.org/wiki/Play_(activity)'], ['https://en.wikipedia.org/wiki/Motivation#Intrinsic_and_extrinsic'], ['https://en.wikipedia.org/wiki/Mental_state'], ['https://en.wikipedia.org/wiki/Mind'], ['https://en.wikipedia.org/wiki/Thought'], ['https://en.wikipedia.org/wiki/Cognition'], ['https://en.wikipedia.org/wiki/Action_(philosophy)'], ['https://en.wikipedia.org/wiki/Philosophy']]",12,12
Richard Ndambu Wolang - Wikipedia,"[['https://en.wikipedia.org/wiki/Suburbs_and_localities_(Australia)'], ['https://en.wikipedia.org/wiki/Australia'], ['https://en.wikipedia.org/wiki/Mainland_Australia'], ['https://en.wikipedia.org/wiki/Landmass'], ['https://en.wikipedia.org/wiki/Region'], ['https://en.wikipedia.org/wiki/Geography'], ['https://en.wikipedia.org/wiki/Ancient_Greek'], ['https://en.wikipedia.org/wiki/Greek_language'], ['https://en.wikipedia.org/wiki/Modern_Greek'], ['https://en.wikipedia.org/wiki/Endonym'], ['https://en.wikipedia.org/wiki/Name'], ['https://en.wikipedia.org/wiki/Referent'], ['https://en.wikipedia.org/wiki/Person'], ['https://en.wikipedia.org/wiki/Reason'], ['https://en.wikipedia.org/wiki/Consciousness'], ['https://en.wikipedia.org/wiki/Awareness'], ['https://en.wikipedia.org/wiki/Philosophy']]",17,17
Hereford Cathedral Junior School - Wikipedia,"[['https://en.wikipedia.org/wiki/Floruit'], ['https://en.wikipedia.org/wiki/Latin'], ['https://en.wikipedia.org/wiki/Classical_language'], ['https://en.wikipedia.org/wiki/George_L._Hart'], ['https://en.wikipedia.org/wiki/Tamil_language'], ['https://en.wikipedia.org/wiki/Classical_languages_of_India'], ['https://en.wikipedia.org/wiki/Umbrella_term'], []]",-2,7
Galician-Portuguese lyric - Wikipedia,"[['https://en.wikipedia.org/wiki/Tangerang'], ['https://en.wikipedia.org/wiki/Sundanese_script'], ['https://en.wikipedia.org/wiki/Sundanese_people'], ['https://en.wikipedia.org/wiki/Indonesian_language'], ['https://en.wikipedia.org/wiki/Official_language'], ['https://en.wikipedia.org/wiki/Language'], ['https://en.wikipedia.org/wiki/Communication'], ['https://en.wikipedia.org/wiki/Information'], ['https://en.wikipedia.org/wiki/Abstraction'], ['https://en.wikipedia.org/wiki/Rule_of_inference'], ['https://en.wikipedia.org/wiki/Logic'], ['https://en.wikipedia.org/wiki/Logical_reasoning'], ['https://en.wikipedia.org/wiki/Mind'], ['https://en.wikipedia.org/wiki/Thought'], ['https://en.wikipedia.org/wiki/Cognition'], ['https://en.wikipedia.org/wiki/Action_(philosophy)'], ['https://en.wikipedia.org/wiki/Philosophy']]",17,17
Robert Barton (RAF officer) - Wikipedia,"[['https://en.wikipedia.org/wiki/The_Troggs'], ['https://en.wiktionary.org/wiki/troglodyte'], ['https://en.wikipedia.org/wiki/Latin'], ['https://en.wikipedia.org/wiki/Classical_language'], ['https://en.wikipedia.org/wiki/George_L._Hart'], ['https://en.wikipedia.org/wiki/Tamil_language'], ['https://en.wikipedia.org/wiki/Classical_languages_of_India'], ['https://en.wikipedia.org/wiki/Umbrella_term'], []]",-2,8
Spin engineering - Wikipedia,"[['https://en.wikipedia.org/wiki/Biathlon'], ['https://en.wikipedia.org/wiki/Winter_sport'], ['https://en.wikipedia.org/wiki/Sport'], ['https://en.wikipedia.org/wiki/Physical_activity'], ['https://en.wikipedia.org/wiki/Skeletal_muscle'], ['https://en.wikipedia.org/wiki/Vertebrate'], ['https://en.wikipedia.org/wiki/Deuterostoma'], ['https://en.wikipedia.org/wiki/Ancient_Greek'], ['https://en.wikipedia.org/wiki/Greek_language'], ['https://en.wikipedia.org/wiki/Modern_Greek'], ['https://en.wikipedia.org/wiki/Endonym'], ['https://en.wikipedia.org/wiki/Name'], ['https://en.wikipedia.org/wiki/Referent'], ['https://en.wikipedia.org/wiki/Person'], ['https://en.wikipedia.org/wiki/Reason'], ['https://en.wikipedia.org/wiki/Consciousness'], ['https://en.wikipedia.org/wiki/Awareness'], ['https://en.wikipedia.org/wiki/Philosophy']]",18,18
